captured_at_utc,raw_log,port,host_baud,timeout_s,stop_on_done,label,ts_us,profile,component,event,reason,duration_s,bytes_received,bytes_processed,frames_received,frames_valid,frames_crc_error,frames_header_error,parser_resyncs,points_total,point_events,points_dropped,frames_per_s,points_per_s,bytes_per_s,avg_frame_time_us,min_frame_time_us,max_frame_time_us,avg_parse_time_us,avg_uart_poll_time_us,success_rate_pct,error_rate_pct,samples_completed,servo_moves,sweep_passes,sweep_cycles,batches_sent,batch_failures,payload_bytes_sent,max_queue_depth,queue_depth,servo_deg,host_timestamp_utc
2026-04-25T18:54:39.995+00:00,data\experiments\ld19_precision\c\d055cm.txt,COM3,115200,90.0,True,d055cm,4034376,precision,telemetry,summary,point_target_reached,2.133,41397,41360,880,880,0,9,0,10476,302,0,412.559,4911.326,19407.613,1937,173,2088,55,585,100.0,1.023,0,0,0,0,0,0,0,0,0,0.0,2026-04-25T18:54:39.991+00:00
2026-04-25T18:58:56.204+00:00,data\experiments\ld19_precision\c\d080cm.txt,COM3,115200,90.0,True,d080cm,2708105,precision,telemetry,summary,point_target_reached,2.207,42842,42817,911,911,0,21,0,10848,311,0,412.821,4915.786,19413.912,1935,173,2139,55,585,100.0,2.305,0,0,0,0,0,0,0,0,0,0.0,2026-04-25T18:58:56.203+00:00
2026-04-25T19:04:48.596+00:00,data\experiments\ld19_precision\c\d110cm.txt,COM3,115200,90.0,True,d110cm,4986729,precision,telemetry,summary,point_target_reached,2.185,42445,42441,903,903,0,4,0,10805,309,0,413.192,4944.114,19421.834,1935,174,2240,55,584,100.0,0.443,0,0,0,0,0,0,0,0,0,0.0,2026-04-25T19:04:48.593+00:00
2026-04-25T19:08:41.470+00:00,data\experiments\ld19_precision\c\d140cm.txt,COM3,115200,90.0,True,d140cm,3092596,precision,telemetry,summary,point_target_reached,2.191,42541,42535,905,904,1,3,1,10833,309,0,412.551,4943.763,19414.068,1936,175,2088,55,585,99.89,0.442,0,0,0,0,0,0,0,0,0,0.0,2026-04-25T19:08:41.465+00:00
